inst_id,year,hbcu_flag,med_sch_flag,hhe_flag,toi_code,hdg_code,toc_code,inst_name_long,inst_city,inst_state,inst_zip,question,row,data1,status1,data2,status2,data3,status3,othinfo1,othinfo2,othinfo3
001016,2012,F,F,F,1,2,1,University of North Alabama,Florence,AL,35632,01,a,140,,,,,,,,
001016,2012,F,F,F,1,2,1,University of North Alabama,Florence,AL,35632,01,b,17,,,,,,,,
001016,2012,F,F,F,1,2,1,University of North Alabama,Florence,AL,35632,01,e4,28,,,,,,,,
001016,2012,F,F,F,1,2,1,University of North Alabama,Florence,AL,35632,01,g,185,,,,,,,,
001016,2012,F,F,F,1,2,1,University of North Alabama,Florence,AL,35632,01.1,a,,,,,,,Yes,,
001016,2012,F,F,F,1,2,1,University of North Alabama,Florence,AL,35632,01.1,b,,,,,,,Yes,,
001016,2012,F,F,F,1,2,1,University of North Alabama,Florence,AL,35632,01.1,c,,,,,,,Yes,,
001016,2012,F,F,F,1,2,1,University of North Alabama,Florence,AL,35632,01.1,d,,,,,,,Yes,,
001016,2012,F,F,F,1,2,1,University of North Alabama,Florence,AL,35632,02,f,39,,22,,17,,,,
001016,2012,F,F,F,1,2,1,University of North Alabama,Florence,AL,35632,02,j,146,,118,,28,,,,
001016,2012,F,F,F,1,2,1,University of North Alabama,Florence,AL,35632,02,k,185,,140,,45,,,,
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,01,a,66,,,,,,,,
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,01,b,317,,,,,,,,
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,01,c,63,,,,,,,,
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,01,e4,132,,,,,,,,
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,01,g,578,,,,,,,,
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,01.1,a,,,,,,,Yes,,Yes
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,01.1,b,,,,,,,No,No expenditures,No
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,01.1,c,,,,,,,No,No expenditures,No
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,01.1,d,,,,,,,No,No expenditures,No
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,02,a,40,,40,,0,,,,
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,02,b,317,,0,,317,,,,
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,02,c,3,,0,,3,,,,
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,02,d,218,,26,,192,,,,
001020,2012,F,F,F,1,6,1,Jacksonville State University,Jacksonville,AL,36265,02,k,578,,66,,512,,,,
001061,2012,F,F,F,1,1,2,Alaska Pacific University,Anchorage,AK,99508,01,a,183,,,,,,,,
001061,2012,F,F,F,1,1,2,Alaska Pacific University,Anchorage,AK,99508,01,b,37,,,,,,,,
001061,2012,F,F,F,1,1,2,Alaska Pacific University,Anchorage,AK,99508,01,c,236,,,,,,,,
001061,2012,F,F,F,1,1,2,Alaska Pacific University,Anchorage,AK,99508,01,g,456,,,,,,,,
001061,2012,F,F,F,1,1,2,Alaska Pacific University,Anchorage,AK,99508,01.1,a,,,,,,,No,No expenditures,No
001061,2012,F,F,F,1,1,2,Alaska Pacific University,Anchorage,AK,99508,01.1,b,,,,,,,No,No expenditures,No
001061,2012,F,F,F,1,1,2,Alaska Pacific University,Anchorage,AK,99508,01.1,c,,,,,,,No,No expenditures,No
001061,2012,F,F,F,1,1,2,Alaska Pacific University,Anchorage,AK,99508,01.1,d,,,,,,,No,No expenditures,No
001061,2012,F,F,F,1,1,2,Alaska Pacific University,Anchorage,AK,99508,02,c,456,,183,,273,,,,
001061,2012,F,F,F,1,1,2,Alaska Pacific University,Anchorage,AK,99508,02,k,456,,183,,273,,,,
001061,2012,F,F,F,1,1,2,Alaska Pacific University,Anchorage,AK,99508,03,,49,,49,,0,,,,
001088,2012,F,F,F,1,3,2,Lyon College,Batesville,AR,72501,01,a,171,,,,,,,,
001088,2012,F,F,F,1,3,2,Lyon College,Batesville,AR,72501,01,g,171,,,,,,,,
001088,2012,F,F,F,1,3,2,Lyon College,Batesville,AR,72501,01.1,a,,,,,,,No,No expenditures,No
001088,2012,F,F,F,1,3,2,Lyon College,Batesville,AR,72501,01.1,b,,,,,,,No,No expenditures,No
001088,2012,F,F,F,1,3,2,Lyon College,Batesville,AR,72501,01.1,c,,,,,,,No,No expenditures,No
001088,2012,F,F,F,1,3,2,Lyon College,Batesville,AR,72501,01.1,d,,,,,,,No,No expenditures,No
001088,2012,F,F,F,1,3,2,Lyon College,Batesville,AR,72501,02,b,155,,155,,0,,,,
001088,2012,F,F,F,1,3,2,Lyon College,Batesville,AR,72501,02,c,16,,16,,0,,,,
001088,2012,F,F,F,1,3,2,Lyon College,Batesville,AR,72501,02,k,171,,171,,0,,,,
001088,2012,F,F,F,1,3,2,Lyon College,Batesville,AR,72501,03,,116,,116,,0,,,,
